"VARIABLE","TIPO_DATO","DESCRIPCION"
"ANO_EJE","Carácter","Año de proceso"
"MES_EJE","Carácter","Mes de proceso"
"NIVEL_GOBIERNO_NOMBRE","Carácter","Nivel de Gobierno de la Entidad"
"NIVEL","Carácter","Código de Nivel de la Entidad"
"NIVEL_NOMBRE","Carácter","Descripción de Nivel de la Entidad"
"DEPARTAMENTO_EJECUTORA","Carácter","Código de Departamento"
"DEPARTAMENTO_EJECUTORA_NOMBRE","Carácter","Descripción de Departamento"
"PROVINCIA_EJECUTORA","Carácter","Código de Provincia"
"PROVINCIA_EJECUTORA_NOMBRE","Carácter","Descripción de Provincia"
"DISTRITO_EJECUTORA","Carácter","Código de Distrito"
"DISTRITO_EJECUTORA_NOMBRE","Carácter","Descripción de Distrito"
"UBIGEO","Carácter","Ubicación Geográfica"
"PLIEGO","Carácter","Código de Pliego"
"PLIEGO_NOMBRE","Carácter","Descripción de Pliego"
"FUENTE","Carácter","Código de Fuente de Financiamiento"
"FUENTE_NOMBRE","Carácter","Descripción de Fuente de Financiamiento"
"CLASE","Carácter","Clase del Ingreso o Categoria del Gasto"
"CLASE_NOMBRE","Carácter","Descripción Clase del Ingreso o Categoria del Gasto"
"TIPO_TRANSACCION","Carácter","Tipo transacción (1:Ingresos o 2: Gastos)"
"TIPO_TRANSACCION_NOMBRE","Carácter","Descripción de Tipo transacción (Ingresos o Gastos)"
"GENERICA","Carácter","Génerica"
"GENERICA_NOMBRE","Carácter","Descripción de Génerica"
"SUBGENERICA","Carácter","Subgénerica"
"SUBGENERICA_NOMBRE","Carácter","Descripción de Subgénerica"
"SUBGENERICA_DET","Carácter","Subgénerica Detalle"
"SUBGENERICA_DET_NOMBRE","Carácter","Descripción Subgénerica Detalle"
"ESPECIFICA","Carácter","Específica"
"ESPECIFICA_NOMBRE","Carácter","DescripciónEspecífica"
"ESPECIFICA_DET","Carácter","Específica Detalle"
"ESPECIFICA_DET_NOMBRE","Carácter","Descripción Específica Detalle"
"MONTO_PIA","Numérico","Autorizado Inicial o PIA"
"MONTO_PIM","Numérico","Autorizado Final o PIM"
"MONTO_EJECUCION","Numérico","Ejecución de Ingresos o Gastos"
